Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1.960000,1.960000,1.960000,1.960000,1.895682,712500
2000-01-04,1.880000,1.880000,1.800000,1.880000,1.818307,200000
2000-01-05,1.760000,1.760000,1.760000,1.760000,1.702245,10000
2000-01-06,1.760000,1.760000,1.760000,1.760000,1.702245,0
2000-01-07,1.760000,1.840000,1.760000,1.760000,1.702245,260000
2000-01-10,1.800000,1.840000,1.800000,1.800000,1.740932,955000
2000-01-11,1.800000,1.800000,1.760000,1.800000,1.740932,1525000
2000-01-12,1.800000,1.800000,1.800000,1.800000,1.740932,80000
2000-01-13,1.800000,1.820000,1.800000,1.800000,1.740932,290000
2000-01-14,1.800000,1.808000,1.800000,1.800000,1.740932,603675
2000-01-17,1.860000,2.080000,1.860000,2.000000,1.934369,1405000
2000-01-18,2.200000,2.440000,2.160000,2.280000,2.205181,2777500
2000-01-19,2.280000,2.280000,2.160000,2.200000,2.127806,360350
2000-01-20,2.260000,2.280000,2.240000,2.280000,2.205181,100000
2000-01-21,2.280000,2.280000,2.160000,2.180000,2.108463,135000
2000-01-24,2.200000,2.480000,2.200000,2.480000,2.398618,875000
2000-01-25,2.320000,2.480000,2.240000,2.480000,2.398618,887150
2000-01-26,2.480000,2.480000,2.380000,2.380000,2.301900,1278500
2000-01-27,2.380000,2.380000,2.380000,2.380000,2.301900,0
2000-01-28,2.280000,2.320000,2.260000,2.320000,2.243868,280000
2000-01-31,2.280000,2.320000,2.260000,2.260000,2.185837,75000
2000-02-01,2.260000,2.260000,2.260000,2.260000,2.185837,0
2000-02-02,2.320000,2.320000,2.240000,2.240000,2.166494,255000
2000-02-03,2.280000,2.600000,2.280000,2.480000,2.398618,9757500
2000-02-04,2.560000,2.920000,2.480000,2.720000,2.630742,1671350
2000-02-07,2.680000,2.920000,2.680000,2.920000,2.824179,1880000
2000-02-08,3.000000,3.120000,2.800000,2.920000,2.824179,3823000
2000-02-09,3.000000,3.000000,2.820000,2.980000,2.882210,4030000
2000-02-10,2.840000,3.680000,2.840000,3.400000,3.288428,4720000
2000-02-11,3.720000,4.800000,3.720000,4.400000,4.255612,8490000
2000-02-14,4.400000,4.560000,4.000000,4.400000,4.255612,2622250
2000-02-15,4.560000,4.560000,3.800000,4.200000,4.062175,1182600
